鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
竹北市,租賃房屋+車位,新竹縣竹北市台元街３２號７樓之５,0.0,,,,1150515,土地0建物2車位3,七層,8,廠辦,工業用,鋼筋混凝土造,0960607,1008.37,0,0,0,無,有,無,350300,347,坡道平面,0.0,9900,租金總額含稅；含有多個門牌且未個別計算租金台元街32號7樓之3部分面積；租賃建物部分範圍，且未計入共有部分面積；租賃期間有約定不同租金117/07/01租金調漲為357108元整。；,RPOOMLRLNHLGFBJ98CC,,有,1150701~1200630,有,,
竹北市,租賃房屋+車位,新竹縣竹北市六家五路二段１９３巷３５號,0.0,,,,1150512,土地0建物1車位1,全,5,透天厝,住家用,鋼筋混凝土造,0960126,191.46,4,2,3,有,有,有,35500,185,一樓平面,0.0,0,,RPPOMLRLNHLGFBJ09CC,整棟(戶)出租,有,1150601~1160531,無,冷氣、熱水器、瓦斯或天然氣,
湖口鄉,租賃房屋,新竹縣湖口鄉榮光一路１７８巷１６號,0.0,,,,1150515,土地0建物0車位0,全,4,透天厝,住宅、停車空間、樓梯間,鋼筋混凝土造,1040821,20.26,9,0,10,有,無,有,6000,296,,0.0,0,續租案件；,RPPNMLRLNHLGFDJ56CC,分租套房,無,1150516~1160515,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
竹北市,租賃房屋+車位,新竹縣竹北市博愛街５３５之８號四樓,0.0,,,,1150520,土地0建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900903,122.62,3,2,2,有,無,有,24000,196,坡道平面,0.0,0,,RPRNMLSLNHLGFBJ66CC,整棟(戶)出租,無,1150520~1160519,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
竹北市,租賃房屋,新竹縣竹北市新瀧一街２３巷２０號六樓,0.0,,,,1150518,土地0建物1車位0,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050126,126.03999999999999,3,2,2,有,無,有,30000,238,,0.0,0,,RPPNMLTLNHLGFBJ56CC,整棟(戶)出租,無,1150518~1160517,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
竹北市,租賃房屋+車位,新竹縣竹北市莊敬五街７２號五樓,0.0,,,,1150518,土地0建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950519,128.97,3,2,2,有,有,有,26000,202,坡道平面,0.0,0,,RPQNMLTLNHLGFBJ66CC,整棟(戶)出租,有,1150520~1160519,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路,社會住宅代管
竹北市,租賃房屋,新竹縣竹北市福興東路一段３０９號三樓,0.0,,,,1150518,土地0建物1車位0,全,5,透天厝,商業用,鋼筋混凝土造,0960105,186.79,4,0,2,有,無,無,45000,241,,0.0,0,租金總額含稅；,RPUNMLTLNHLGFBJ07CC,,無,1150618~1210617,有,,
竹北市,租賃房屋+車位,新竹縣竹北市高鐵九路６１巷２１號十二樓,0.0,,,,1150516,土地0建物1車位2,十二層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1121201,220.16,4,2,2,有,有,有,37800,172,坡道平面,63.06,0,,RPPNMLKMNHLGFBJ38CC,整棟(戶)出租,有,1150601~1160531,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,
竹北市,租賃房屋,新竹縣竹北市高鐵七路６５號十四樓之十三,0.0,,,,1150516,土地0建物1車位0,十四層,18,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0990208,72.24000000000001,1,1,1,有,有,有,18000,249,,0.0,0,多人共同承租2；,RPQNMLKMNHLGFBJ48CC,獨立套房,有,1150516~1160515,有,冷氣、熱水器、洗衣機、電視機、冰箱,
竹北市,租賃房屋,新竹縣竹北市嘉豐二街一段１１８號２樓,0.0,,,,1150520,土地0建物0車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950320,24.0,32,0,32,有,無,有,15000,625,,0.0,0,多人共同承租2；租金總額含水費；租賃建物部分範圍，且未計入共有部分面積；,RPRNMLLJOHLGFBJ48CC,分租套房,無,1150523~1160522,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
