鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
虎尾鎮,租賃房屋,雲林縣虎尾鎮五間厝６０號二樓之２１,0.0,,,,1150515,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080409,13.739999999999998,1,0,1,有,有,有,4200,306,,0.0,0,含增建或未登記建物；,RPQNMLLLNHLGFDP66CC,獨立套房,有,1150601~1160531,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
古坑鄉,租賃房屋,雲林縣古坑鄉文昌路１２８-７號,0.0,,,,1150515,土地0建物1車位0,全,1,透天厝,住家用,加強磚造,0781222,140.39,3,2,3,有,無,無,15000,107,,0.0,0,,RPPNMLMLNHLGFAP98CC,整棟(戶)出租,無,1150620~1160619,無,冷氣、熱水器,
元長鄉,租賃房屋,雲林縣元長鄉下寮村下寮路２３之２號,0.0,,,,1150519,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0830715,18.0,7,0,7,有,無,有,5000,278,,0.0,0,,RPPNMLMLNHLGFEP76CC,分租套房,無,1150601~1161231,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
斗六市,租賃房屋,雲林縣斗六市久安路１３３號,0.0,,,,1150520,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0761001,130.5,3,2,2,有,無,有,10000,77,,0.0,0,,RPPNMLPLNHLGFAP66CC,整棟(戶)出租,無,1150521~1160520,無,熱水器、瓦斯或天然氣,社會住宅包租轉租
斗六市,租賃房屋,雲林縣斗六市雲林路二段２１１號四樓之６,0.0,,,,1150513,土地0建物1車位0,四層,13,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0840513,39.43,1,0,1,有,有,有,6500,165,,0.0,0,,RPQNMLPLNHLGFAP76CC,獨立套房,有,1150515~1160514,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
斗六市,租賃房屋,雲林縣斗六市光復路９２巷５號,0.0,,,,1150517,土地0建物1車位0,全,3,透天厝,住家用,加強磚造,0720624,140.78,3,3,2,有,無,有,12000,85,,0.0,0,,RPRNMLPLNHLGFAP86CC,整棟(戶)出租,無,1150525~1160524,無,冷氣、熱水器、電視機、冰箱,
斗六市,租賃房屋,雲林縣斗六市鎮南路１０２９號４樓之２,0.0,,,,1150517,土地0建物1車位0,四層,10,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140903,83.3,2,2,1,有,有,有,17000,204,,0.0,0,租金總額含管理費；,RPSNMLPLNHLGFAP96CC,整棟(戶)出租,有,1150523~1160522,有,冷氣、熱水器、洗衣機、電視機、冰箱,
斗南鎮,租賃房屋,雲林縣斗南鎮南昌西路２１０巷２６號四樓之９,0.0,,,,1150519,土地0建物1車位0,四層,10,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1141016,93.29,3,1,2,有,有,有,16000,172,,0.0,0,,RPPNMLPLNHLGFBP76CC,整棟(戶)出租,有,1150521~1160520,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號七樓之８,0.0,,,,1150515,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,18.479999999999997,1,0,1,有,有,有,4200,227,,0.0,0,含增建或未登記建物；續租案件；,RPQNMLQLNHLGFAP86CC,獨立套房,有,1150901~1160831,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號七樓之１０,0.0,,,,1150515,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,15.549999999999999,1,0,1,有,有,有,4200,270,,0.0,0,含增建或未登記建物；續租案件；,RPRNMLQLNHLGFAP96CC,獨立套房,有,1150623~1160622,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號六樓之３３,0.0,,,,1150519,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,20.12,1,0,1,有,有,有,4200,209,,0.0,0,含增建或未登記建物；續租案件；,RPSNMLQLNHLGFAP07CC,獨立套房,有,1150616~1160615,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市信義里公正街１號二樓之１,0.0,,,,1150513,土地0建物1車位0,二層,10,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1131028,79.4,1,1,1,有,有,無,16000,202,,0.0,0,,RPPNMLSLNHLGFAP17EC,整棟(戶)出租,有,1150525~1160524,有,冷氣、熱水器、洗衣機、電視機、冰箱,
斗南鎮,租賃房屋,雲林縣斗南鎮世榮街２０號六樓之１０,0.0,,,,1150519,土地0建物1車位0,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840710,37.13,1,0,1,有,有,有,7000,189,,0.0,0,,RPPNMLTLNHLGFBP17CC,獨立套房,有,1150520~1160519,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
虎尾鎮,租賃房屋,雲林縣虎尾鎮建成路１１２８號九樓之６,0.0,,,,1150517,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1131114,80.77000000000001,2,1,1,有,有,有,16500,204,,0.0,0,租金總額含管理費；,RPQNMLTLNHLGFDP47CC,整棟(戶)出租,有,1150517~1160520,有,冷氣、熱水器、洗衣機、冰箱,
斗六市,租賃房屋,雲林縣斗六市府文路１９之７號,0.0,,,,1150520,土地0建物0車位0,全,4,透天厝,住宅、樓梯間,鋼筋混凝土造,1100601,27.0,8,1,9,有,無,有,9000,333,,0.0,0,租金總額含網路費；,RPPNMLLJOHLGFAP78CC,分租套房,無,1150601~1160531,有,冷氣、熱水器、電視機、冰箱、網路,
虎尾鎮,租賃房屋+車位,雲林縣虎尾鎮永興路４３１號七樓之３,0.0,,,,1150515,土地0建物1車位1,七層,10,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1121211,109.09,2,1,1,有,有,有,25031,229,坡道平面,20.39,0,,RPQNMLTJOHLGFDP37CC,整棟(戶)出租,無,1150601~1160531,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
