鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
北屯區,房地(土地+建物)+車位,臺中市北屯區永和巷,23.64,住,,,1150512,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.26,2,2,2,有,無,17660000,166308,坡道平面,38.3,2200000,,RPPNMLKKOHLGFBB37CB,久樘歐森,A3棟2F號,
北屯區,房地(土地+建物)+車位,臺中市北屯區永和巷,31.11,住,,,1150513,土地1建物1車位2,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,198.94,3,2,2,有,無,24350000,163070,坡道平面,76.6,4400000,,RPQNMLKKOHLGFBB47CB,久樘歐森,B1棟4F號,
北屯區,房地(土地+建物)+車位,臺中市北屯區永和巷,30.4,住,,,1150513,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.86,3,2,2,有,無,21780000,163349,坡道平面,38.3,2250000,,RPRNMLKKOHLGFBB57CB,久樘歐森,B2棟5F號,
北屯區,房地(土地+建物)+車位,臺中市北屯區永和巷,25.61,住,,,1150517,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.0,2,2,2,有,無,20630000,182026,坡道平面,38.3,2300000,,RPSNMLKKOHLGFBB67CB,久樘歐森,B2棟14F號,
西屯區,房地(土地+建物)+車位,臺中市西屯區西屯路三段Ｘ永福路口,29.53,住,,,1150517,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,,98.63,2,1,1,有,無,15880000,199379,坡道平面,31.02,2400000,,RPSNMLKKOHLGFCB77CB,??HORI,C棟0號,
西屯區,房地(土地+建物)+車位,臺中市西屯區甘肅路,22.6,住,,,1150513,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.58,3,2,2,有,無,21580000,172727,坡道平面,30.38,2200000,,RPOOMLKKOHLGFCB47CB,和瑞文華樂章,B2棟10F號,
南屯區,房地(土地+建物)+車位,臺中市南屯區楓樹西街與楓樹六街附近,27.6,住,,,1150517,土地1建物1車位2,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,210.83,4,2,2,有,無,28360000,167635,坡道平面,67.9,4400000,,RPQNMLLKOHLGFCB67CB,精晨LIFE SHOW,B棟7號,
南屯區,房地(土地+建物)+車位,臺中市南屯區楓樹西街與楓樹六街附近,26.68,住,,,1150516,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,171.94,4,2,2,有,無,26170000,173708,坡道平面,33.95,2200000,,RPPNMLPKOHLGFCB97CB,精晨LIFE SHOW,C棟12號,
烏日區,房地(土地+建物)+車位,臺中市烏日區學田路568巷,24.83,住,,,1150518,土地2建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.93,2,1,1,有,無,12630000,118266,坡道平面,32.82,1500000,,RPPNMLPKOHLGFIB58CB,Tower花園,B1棟B1-7號,
烏日區,房地(土地+建物)+車位,臺中市烏日區學田路568巷,24.93,住,,,1150518,土地2建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.32,2,1,1,有,無,12670000,118201,坡道平面,32.82,1500000,,RPQNMLPKOHLGFIB68CB,Tower花園,B2棟B2-7號,
外埔區,房地(土地+建物),臺中市外埔區中山路310號對面,98.07,住,,,1150519,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,197.07,4,2,5,有,無,17580000,89207,,0.0,0,,RPPNMLQKOHLGFEB28CB,帝堡NO.35-芯佳,A棟A2號,
