鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
社頭鄉,房地(土地+建物),彰化縣社頭鄉信義三路,42.4,住,,,1150313,土地3建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.11,3,2,2,有,無,10170000,89125,,0.0,0,,RPRNMLQLLHLGFEN86CB,富邑皇邸30號苑,5D號,
社頭鄉,房地(土地+建物),彰化縣社頭鄉信義三路,32.01,住,,,1150313,土地3建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.16,2,2,1,有,無,7500000,87047,,0.0,0,,RPSNMLQLLHLGFEN96CB,富邑皇邸30號苑,3I號,
社頭鄉,房地(土地+建物),彰化縣社頭鄉信義三路,29.13,住,,,1150315,土地3建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,77.55,2,2,1,有,無,7100000,91554,,0.0,0,,RPTNMLQLLHLGFEN07CB,富邑皇邸30號苑,3C號,
社頭鄉,房地(土地+建物),彰化縣社頭鄉信義三路,29.13,住,,,1150315,土地3建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,77.55,2,2,1,有,無,7100000,91554,,0.0,0,,RPUNMLQLLHLGFEN17CB,富邑皇邸30號苑,4C號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市中正路二段/民族一街,15.58,商,,,1150303,土地7建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.92,3,2,2,有,無,14500000,117991,坡道平面,30.98,2000000,因小數點進位問題，土地持分面積為 :15.58㎡,RPQNMLTLLHLGFAN66CB,合新中正一綻,A2棟10F號,
員林市,房地(土地+建物)+車位,彰化縣員林市彰化縣員林市員林大道四段,31.16,住,,,1150328,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,172.08,3,2,2,有,無,17800000,124115,坡道平面,43.57,1850000,,RPPNMLTLLHLGFDN86CB,坤悅原鄰薈,_棟F08號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市中正路二段/民族一街,15.58,商,,,1150303,土地7建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.92,3,2,2,有,無,15300000,125543,坡道平面,30.98,2000000,因小數點進位問題，土地持分面積為 :15.58㎡,RPPNMLKMLHLGFAN38CB,合新中正一綻,A2棟09F號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市中山路二段,24.82,住,,,1150319,土地2建物1車位2,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,220.15,4,2,2,有,無,22750000,116791,坡道平面,57.38,3740000,,RPQNMLKMLHLGFAN48CB,櫻花中山之櫻,B2棟0號,
田中鎮,房地(土地+建物),彰化縣田中鎮三多街15號旁,71.71,住,,,1150321,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,147.87,4,3,3,有,無,12500000,84534,,0.0,0,,RPPNMLKMLHLGFEN78CB,新民湛,A7號,
埔心鄉,房地(土地+建物),彰化縣埔心鄉五賢路近大溪路三段,98.36,,鄉村區,乙種建築用地,1150329,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,134.08,4,1,3,有,無,10580000,78908,,0.0,0,,RPQNMLKMLHLGFHN56CB,堡量豐華梧居墅,B棟B02號,
