鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
燕巢區,房地(土地+建物),高雄市燕巢區角宿路12巷,20.13,,特定農業區,甲種建築用地,1150213,土地1建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,67.79,2,1,1,有,無,6470000,95442,,0.0,0,,RPPNMLNLKHLGFFE08CB,品ONE,A棟1號,
新興區,房地(土地+建物),高雄市新興區中山一路,3.04,商,,,1150224,土地16建物1車位0,二十一層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,75.36,2,1,1,有,無,12850000,170515,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費100000元；,RPPNMLOLKHLGFBE77CB,中山鉑?,A棟02號,
新興區,房地(土地+建物)+車位,高雄市新興區中山一路,3.61,商,,,1150224,土地16建物1車位1,四層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,95.38,1,1,1,有,無,15470000,159192,坡道機械,5.74,1200000,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費100000元；,RPQNMLOLKHLGFBE87CB,中山鉑?,A棟19號,
三民區,房地(土地+建物)+車位,高雄市三民區明誠一路鼎山街202巷口,14.09,住,,,1150220,土地2建物1車位1,三層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.4,3,2,2,有,無,19500000,151304,坡道平面,27.4,2100000,,RPPNMLOLKHLGFDE97CB,國泰明誠,A5棟3號,
新興區,房地(土地+建物)+車位,高雄市新興區中山一路,4.25,商,,,1150225,土地16建物1車位1,三層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,120.44,1,1,2,有,無,18350000,154350,坡道平面,15.16,2100000,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費100000元；,RPPNMLPLKHLGFBE87CB,中山鉑?,A棟17號,
三民區,房地(土地+建物)+車位,高雄市三民區九如一路B07棟F15樓,12.15,商,,,1150220,土地2建物1車位1,十五層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.25,3,2,2,有,無,22000000,138957,坡道平面,20.76,2200000,,RPRNMLPLKHLGFDE28CB,遠雄峰蘊,B棟07號,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區建國一路,20.26,商,,,1150226,土地1建物1車位1,十五層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,210.38,3,2,2,有,無,29170000,142910,坡道平面,22.01,2250000,,RPPNMLQLKHLGFBE97CB,知道明,A3棟15號,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路,5.21,商,,,1150224,土地2建物1車位0,二十層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.67,2,1,2,有,無,15730000,169742,,0.0,0,,RPQNMLQLKHLGFBE08CB,郡都大成,A8棟20號,
左營區,房地(土地+建物)+車位,高雄市左營區大中二路,10.65,住,,,1150213,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.68,3,1,2,有,無,12800000,118077,坡道機械,12.98,1500000,,RPPNMLQLKHLGFEE28CB,高鐵SONG,A13棟0號,
左營區,房地(土地+建物)+車位,高雄市左營區大中二路,14.58,住,,,1150223,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.21,3,2,2,有,無,18220000,123176,坡道平面,38.34,2100000,,RPQNMLQLKHLGFEE38CB,高鐵SONG,A1棟0號,
新興區,房地(土地+建物)+車位,高雄市新興區中山一路,3.61,商,,,1150227,土地16建物1車位1,十四層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,95.38,1,1,1,有,無,16070000,162539,坡道機械,5.74,1500000,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費100000元；,RPPNMLRLKHLGFBE08CB,中山鉑?,A棟19號,
新興區,房地(土地+建物)+車位,高雄市新興區中山一路,3.59,商,,,1150227,土地16建物1車位1,十八層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,94.63,1,1,1,有,無,15750000,163685,坡道機械,5.74,1200000,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費100000元；,RPQNMLRLKHLGFBE18CB,中山鉑?,A棟01號,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區泉州街,9.19,住,,,1150213,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.1,0,1,1,有,無,12400000,144390,升降機械,10.61,1500000,,RPPNMLLJLHLGFBE37CB,文化星匯,B棟2號,
前金區,房地(土地+建物),高雄市前金區中正四路,5.13,商,,,1150226,土地9建物1車位0,六層,35,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,125.59,3,1,1,有,無,17430000,138785,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPPNMLMJLHLGFAE37CB,中正1號院,A棟11號,
新興區,房地(土地+建物)+車位,高雄市新興區中山一路,3.49,商,,,1150225,土地16建物1車位1,三十四層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,92.33,1,1,1,有,無,15890000,168495,坡道機械,5.74,1300000,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費100000元；,RPPNMLMJLHLGFBE47CB,中山鉑?,A棟3號,
三民區,房地(土地+建物)+車位,高雄市三民區中華二路157巷,12.87,商,,,1150228,土地2建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.45,2,1,2,有,無,15180000,149213,坡道平面,25.46,2200000,,RPPNMLMJLHLGFDE67CB,善寬UNI,A9棟11號,
三民區,房地(土地+建物),高雄市三民區中華二路157巷,10.11,商,,,1150228,土地2建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.36,2,1,1,有,無,10560000,154476,,0.0,0,,RPQNMLMJLHLGFDE77CB,善寬UNI,A7棟8號,
三民區,房地(土地+建物)+車位,高雄市三民區九如三路,17.75,住,,,1150220,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.45,3,2,2,有,無,24180000,162874,坡道平面,24.85,2420000,含冷氣交易總價含下列非屬預售屋價格之費用:傢俱設備費；,RPRNMLMJLHLGFDE87CB,遠雄沐蘊,A06棟F09號,
三民區,房地(土地+建物)+車位,高雄市三民區建國三路自強一路口,5.93,商,,,1150212,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,95.5,2,2,2,有,無,14860000,160635,升降機械,9.84,1100000,,RPSNMLMJLHLGFDE97CB,明森丰川,A2棟10號,
左營區,房地(土地+建物),高雄市左營區店仔頂路,16.1,住,,,1150214,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.0,2,2,1,有,無,9580000,106444,,0.0,0,,RPPNMLMJLHLGFEE77CB,蓮潭馥境,A5棟4號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十三街及二十六街口,13.59,住,,,1150214,土地1建物1車位1,二層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.26,2,2,2,有,無,10640000,121642,坡道平面,24.67,1810000,,RPQNMLMJLHLGFEE87CB,遠雄一靚,A13棟F02號,
鳳山區,房地(土地+建物),高雄市鳳山區頂庄路 復華一街路口,8.47,商,,,1150226,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,71.67,1,1,1,有,無,7280000,101577,,0.0,0,,RPPNMLMJLHLGFGE97CB,利融永御,A2棟7號,
鳳山區,房地(土地+建物),高雄市鳳山區頂庄路 復華一街路口,11.37,商,,,1150228,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.16,2,2,2,有,無,9000000,93594,,0.0,0,,RPQNMLMJLHLGFGE08CB,利融永御,A3棟3號,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區頂庄路 復華一街路口,8.4,商,,,1150214,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.09,1,1,1,有,無,8300000,99845,坡道機械,34.98,1200000,,RPRNMLMJLHLGFGE18CB,利融永御,A6棟6號,
大社區,房地(土地+建物)+車位,高雄市大社區中正路470號3樓之5,24.64,住,,,1150228,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.95,2,2,2,有,無,8790000,98541,一樓平面,7.0,1700000,,RPPNMLMJLHLGFIE18CB,喬鈞富寓,C5棟3號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區清安街及清平街交叉口,32.52,住,,,1150228,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.7,3,2,2,有,無,12600000,100951,升降機械,6.25,1450000,其他:共有面積包含汽車位6.25平方公尺及機車位3.4平方公尺,RPPNMLNJLHLGFEE87CB,廣積平安璟苑,D棟3號,
橋頭區,房地(土地+建物)+車位,高雄市橋頭區橋新三路,20.41,商,,,1150221,土地1建物1車位1,一層,24,店面(店鋪),商業用,鋼筋混凝土造,,99.65,0,0,0,無,無,15800000,185815,坡道平面,23.23,1600000,,RPPNMLNJLHLGFFE97CB,達麗世界學,B棟S11-01F號,
大寮區,房地(土地+建物)+車位,高雄市大寮區林厝路,89.86,住,,,1150214,土地6建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,182.5,4,2,4,有,無,15880000,87014,一樓平面,0.0,0,,RPPNMLNJLHLGFLE58CB,捷安居6期,B棟6號,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路,4.47,商,,,1150227,土地2建物1車位0,六層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.56,2,1,2,有,無,12380000,155606,,0.0,0,,RPPNMLOJLHLGFBE67CB,郡都大成,A6棟6號,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路,5.55,商,,,1150227,土地2建物1車位0,六層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,98.95,3,1,2,有,無,15180000,153411,,0.0,0,,RPQNMLOJLHLGFBE77CB,郡都大成,A10棟6號,
三民區,房地(土地+建物),高雄市三民區鼎山街,7.51,商,,,1150224,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.58,2,2,1,有,無,8920000,112088,,0.0,0,,RPPNMLOJLHLGFDE87CB,和築豐彩,B5棟3F號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十三街及二十六街口,15.68,住,,,1150225,土地1建物1車位1,三層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.65,2,2,2,有,無,12390000,120726,坡道平面,24.67,2010000,,RPPNMLOJLHLGFEE97CB,遠雄一靚,D05棟F03號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十三街及二十六街口,15.68,住,,,1150227,土地1建物1車位1,四層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.65,2,2,2,有,無,12370000,121656,坡道平面,24.67,1910000,,RPQNMLOJLHLGFEE08CB,遠雄一靚,D05棟F04號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十三街及二十六街口,15.68,住,,,1150227,土地1建物1車位1,五層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.65,2,2,2,有,無,12550000,123750,坡道平面,24.67,1910000,,RPRNMLOJLHLGFEE18CB,遠雄一靚,D05棟F05號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十三街及二十六街口,13.59,住,,,1150227,土地1建物1車位1,六層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.26,2,2,2,有,無,11300000,129357,坡道平面,24.67,1910000,,RPSNMLOJLHLGFEE28CB,遠雄一靚,A13棟F06號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十三街及二十六街口,13.75,住,,,1150227,土地1建物1車位1,十層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.24,2,2,2,有,無,12090000,133386,坡道平面,24.67,2010000,,RPTNMLOJLHLGFEE38CB,遠雄一靚,D08棟F10號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十三街及二十六街口,21.23,住,,,1150228,土地1建物1車位1,六層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.16,3,2,2,有,無,17590000,135519,坡道平面,24.67,2210000,含冷氣交易總價含下列非屬預售屋價格之費用:傢俱設備費；,RPUNMLOJLHLGFEE48CB,遠雄一靚,B02棟F06號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十三街及二十六街口,21.63,住,,,1150228,土地1建物1車位1,一層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.31,0,0,1,有,無,16240000,123919,坡道平面,24.67,1910000,,RPVNMLOJLHLGFEE58CB,遠雄一靚,S01棟F01號,
橋頭區,房地(土地+建物)+車位,高雄市橋頭區成功南路,19.43,住,,,1150226,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.95,3,2,2,有,無,14210000,103219,坡道平面,14.72,1800000,,RPPNMLOJLHLGFFE08CB,橋科大極,E7棟7號,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區安樂路與安樂路1巷,16.52,住,,,1150213,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.27,3,2,2,有,無,15100000,131098,一樓平面,21.87,2200000,,RPPNMLPJLHLGFBE77CB,御上立騰,A2棟12F號,
前鎮區,房地(土地+建物),高雄市前鎮區衙慶一街VS衙慶一街10巷,22.29,住,,,1150211,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.45,2,1,2,有,無,7700000,107768,,0.0,0,,RPPNMLPJLHLGFCE87CB,築?,B1棟2號,
前鎮區,房地(土地+建物),高雄市前鎮區衙慶一街VS衙慶一街10巷,23.36,住,,,1150303,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,74.9,2,1,2,有,無,8400000,112150,,0.0,0,,RPQNMLPJLHLGFCE97CB,築?,B3棟3號,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區衛武段658、661地號建國一路、正義路口,15.76,住,,,1150304,土地2建物1車位1,十九層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.61,3,2,2,有,無,17830000,120303,坡道平面,28.35,2400000,,RPPNMLQJLHLGFBE87CB,京城舞極,D6棟19號,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區衛武段658、661地號建國一路、正義路口,17.72,住,,,1150228,土地2建物1車位1,二十五層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.43,3,2,2,有,無,20600000,121128,坡道平面,28.35,2300000,,RPQNMLQJLHLGFBE97CB,京城舞極,D7棟25號,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區衛武段658、661地號建國一路、正義路口,17.72,住,,,1150228,土地2建物1車位1,二十四層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.43,3,2,2,有,無,20790000,121062,坡道平面,28.35,2500000,,RPRNMLQJLHLGFBE08CB,京城舞極,D7棟24號,
大樹區,房地(土地+建物),高雄市大樹區中正一路,21.29,住,,,1150214,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,61.06,2,1,2,有,無,3980000,65182,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQJLHLGFGE38CB,淞曜,B3棟4號,
湖內區,房地(土地+建物)+車位,高雄市湖內區正義一路5號前方,32.8,,一般農業區,甲種建築用地,1150226,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,135.36,3,2,2,有,無,10000000,70805,坡道平面,13.9,1400000,,RPPNMLQJLHLGFJE68CB,城安大未來,B7棟0號,
新興區,房地(土地+建物),高雄市新興區中山一路,3.49,商,,,1150302,土地16建物1車位0,三十三層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,86.59,1,1,1,有,無,14560000,168149,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費100000元；,RPPNMLSJLHLGFBE08CB,中山鉑?,A棟3號,
大社區,房地(土地+建物),高雄市大社區文化路24巷,17.9,住,,,1150228,土地1建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,73.4,2,2,2,有,無,7330000,99864,,0.0,0,,RPPNMLSJLHLGFIE78CB,皇家旺博市10期A棟華廈,A9棟6號,
大社區,房地(土地+建物),高雄市大社區文化路24巷,17.9,住,,,1150303,土地1建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,73.4,2,2,2,有,無,7330000,99864,,0.0,0,,RPQNMLSJLHLGFIE88CB,皇家旺博市10期A棟華廈,A8棟5號,
