鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
水上鄉,房地(土地+建物),嘉義縣水上鄉溪州村外溪洲88號頓面,24.58,,鄉村區,乙種建築用地,1150309,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,80.26,2,2,2,有,無,7280000,90705,,0.0,0,,RPPNMLKMLHLGFDQ98CB,水上里仁居,D棟5號,
水上鄉,房地(土地+建物),嘉義縣水上鄉溪州村外溪洲88號對面,24.58,,鄉村區,乙種建築用地,1150309,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,80.26,2,2,2,有,無,7280000,90705,,0.0,0,,RPQNMLKMLHLGFDQ09CB,水上里仁居,D棟6號,
中埔鄉,房地(土地+建物),嘉義縣中埔鄉中埔國中西側400M,119.7,,一般農業區,丙種建築用地,1150329,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,172.86,5,2,4,有,無,16200000,93717,,0.0,0,,RPSNMLKMLHLGFDQ66CB,東唐境,A棟2號,1150422全部解約
中埔鄉,房地(土地+建物),嘉義縣中埔鄉中埔國中西側400M,117.47,,一般農業區,丙種建築用地,1150329,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.48,4,2,3,有,無,15860000,102007,,0.0,0,,RPTNMLKMLHLGFDQ76CB,東唐境,A棟15號,
中埔鄉,房地(土地+建物),嘉義縣中埔鄉中埔國中西側400M,111.41,,一般農業區,丙種建築用地,1150331,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,146.88,4,2,3,有,無,15160000,103214,,0.0,0,,RPPNMLLMLHLGFDQ09CB,東唐境,A棟21號,
大林鎮,房地(土地+建物),嘉義縣大林鎮排子路,150.13,,鄉村區,乙種建築用地,1150317,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,168.89,4,2,3,有,無,13800000,81710,,0.0,0,,RPPNMLNJMHLGFCQ98CB,森墨白,D棟10號,
太保市,房地(土地+建物),嘉義縣太保市過溝里過溝9號旁,79.71,住,,,1150316,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,153.04,3,1,3,有,無,14780000,96576,,0.0,0,,RPPNMLNJMHLGFDQ09CB,集富軒二期,A1棟0號,
太保市,房地(土地+建物),嘉義縣太保市過溝里過溝9號旁,90.04,住,,,1150325,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,175.19,3,1,3,有,無,16680000,95211,,0.0,0,,RPQNMLNJMHLGFDQ56CB,集富軒二期,B1棟0號,
太保市,房地(土地+建物)+車位,嘉義縣太保市過溝里過溝9號旁,70.55,住,,,1150327,土地1建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,153.04,3,1,3,有,無,14380000,93962,一樓平面,12.14,0,,RPRNMLNJMHLGFDQ66CB,集富軒二期,A2棟0號,
鹿草鄉,房地(土地+建物)+車位,嘉義縣鹿草鄉圓山路.文康街,116.84,住,,,1150310,土地3建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,147.29,3,3,4,有,無,14800000,100482,其他,0.0,0,停車位規格為長5.5公尺，寬2.5公尺。,RPPNMLRJMHLGFDQ86CB,豪冠丰藝NO5,C棟3號,
