鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
線西鄉,租賃房屋,彰化縣線西鄉慶濱路１３號,197.5,,工業區,丁種建築用地,1150220,土地1建物1車位0,見其他登記事項,1,工廠,餐飲店、店舖（連鎖便利商店）,鋼骨造,1110922,99.29,0,0,0,無,無,無,25200,,,0.0,0,租金總額含稅；,RPPNMLQJLHLGFBN88CC,,無,1150301~1180228,無,,
鹿港鎮,租賃房屋,彰化縣鹿港鎮草港巷１６０之３號,0.0,,,,1150227,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0821111,195.74,5,2,4,有,無,有,18000,92,,0.0,0,,RPPNMLQJLHLGFCN98CC,整棟(戶)出租,無,1150301~1160228,無,熱水器,社會住宅代管
大村鄉,租賃房屋,彰化縣大村鄉山腳路９６之２５號二樓,0.0,,,,1150225,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010525,37.39,1,0,1,有,有,有,5000,134,,0.0,0,續租案件；,RPPNMLQJLHLGFDN09CC,獨立套房,有,1150301~1160228,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,社會住宅包租轉租
大村鄉,租賃房屋,彰化縣大村鄉山腳路９６之１３號,0.0,,,,1150226,土地0建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010525,37.39,1,0,1,有,有,有,5000,134,,0.0,0,續租案件；,RPQNMLQJLHLGFDN56CC,獨立套房,有,1150301~1160228,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,社會住宅包租轉租
大村鄉,租賃房屋,彰化縣大村鄉山腳路９６之２５號三樓,0.0,,,,1150226,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010525,37.39,1,0,1,有,有,有,5000,134,,0.0,0,,RPRNMLQJLHLGFDN66CC,獨立套房,有,1150301~1160228,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,社會住宅包租轉租
員林市,租賃房屋,彰化縣員林市南平東街２號四樓,0.0,,,,1150304,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791205,128.95,3,2,2,有,有,有,14500,112,,0.0,0,每月管理費2000元由出租人負擔，租金已扣除。,RPSNMLQJLHLGFDN76CC,整棟(戶)出租,有,1150310~1160309,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
彰化市,租賃房屋,彰化縣彰化市民生路３４１號４樓之１,0.0,,,,1150306,土地0建物0車位0,全,4,透天厝,補習班,鋼筋混凝土造,0950123,16.52,4,0,4,有,無,有,7000,424,,0.0,0,此為分租套房 僅出租其中一間；總租金為:79800，因年繳優待5%租金總額含水費；網路費；其他第四台；含增建或未登記建物；租賃建物部分範圍，且未計入共有部分面積；,RPPNMLSJLHLGFAN98CC,分租套房,無,1150310~1160309,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
彰化市,土地,鳳山段1500地號,8559.41,,山坡地保育區,農牧用地,1150305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,8500,1,,0.0,0,,RPPNMLTJLHLGFAN09CC,,,1150210~1200210,,,
彰化市,租賃房屋,彰化縣彰化市延長街５２巷８號五樓之８,0.0,,,,1150226,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950522,31.77,1,1,1,有,有,有,6500,205,,0.0,0,續租案件；,RPQNMLTJLHLGFAN56CC,獨立套房,無,1150301~1151231,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,社會住宅包租轉租
彰化市,租賃房屋,彰化縣彰化市林森路１７７之４號二樓,0.0,,,,1150214,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821110,115.1,3,2,2,有,有,無,13000,113,,0.0,0,租金總額含管理費；未租賃車位，建物登記含有車位面積；,RPSNMLTJLHLGFAN76CC,整棟(戶)出租,有,1150301~1160228,有,熱水器,
和美鎮,租賃房屋,彰化縣和美鎮大佃路９１５號,1205.0,工,,,1150306,土地1建物1車位0,見其他登記事項,3,工廠,住工用,鋼筋混凝土造,0840518,824.54,0,0,0,無,無,無,120000,,,0.0,0,,RPQNMLTJLHLGFBN66CC,,無,1150320~1200319,無,冷氣,
社頭鄉,租賃房屋,彰化縣社頭鄉清水岩路１９９巷１０號,0.0,,,,1150305,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0790619,168.58,7,2,3,有,無,有,13000,77,,0.0,0,續租案件；,RPPNMLTJLHLGFEN86CC,整棟(戶)出租,無,1150325~1160324,無,熱水器、瓦斯或天然氣,社會住宅包租轉租
