鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
淡水區,租賃房屋+車位,新北市淡水區新市六路一段２２號十九樓,0.0,,,,1150521,土地0建物1車位1,十九層,23,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120724,131.32999999999998,2,2,1,有,有,無,22000,168,坡道平面,29.87,0,多人共同承租2；租金總額含管理費；,RPROMLMLNHLGFEF68CC,整棟(戶)出租,有,1150605~1160604,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
淡水區,租賃房屋,新北市淡水區民族路６５巷７２號十樓,0.0,,,,1150521,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951117,78.15,2,2,1,有,有,無,24000,307,,0.0,0,多人共同承租2；租金總額含管理費；,RPTOMLMLNHLGFEF88CC,整棟(戶)出租,有,1150601~1160531,有,冷氣、熱水器、瓦斯或天然氣,
淡水區,租賃房屋,新北市淡水區大忠街１１７號八樓之６,0.0,,,,1150521,土地0建物1車位0,八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830629,30.57,1,0,1,有,有,有,8500,278,,0.0,0,1.管理費每月700元整，由承租人負擔。2.國家住宅及都市更新中心社會住宅包租代管計畫之物件。續租案件；,RPTPMLMLNHLGFEF98CC,獨立套房,有,1150620~1160519,有,冷氣、熱水器、電視機、冰箱,社會住宅代管
淡水區,租賃房屋,新北市淡水區中山路１２７號９樓之１,0.0,,,,1150522,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840315,68.97,2,1,1,有,有,無,16000,232,,0.0,0,租金總額內16000元不含管，另有管理費1043元；管理費由承租人自行負擔；此建物為兩個門牌，內部兩戶打通。多人共同承租2；,RPUQMLMLNHLGFEF56CC,整棟(戶)出租,有,1150615~1180614,有,熱水器,
淡水區,租賃房屋,新北市淡水區水碓２５巷５號５樓,0.0,,,,1150521,土地0建物1車位0,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840117,47.19,0,0,0,無,有,有,8000,170,,0.0,0,租金總額含管理費；,RPURMLMLNHLGFEF66CC,整棟(戶)出租,有,1150601~1160531,有,冷氣、熱水器、洗衣機、冰箱,
淡水區,租賃房屋+車位,新北市淡水區淡金路１段５６５號１５樓,0.0,,,,1150522,土地0建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041001,186.44,3,1,2,有,有,有,27000,161,坡道平面,37.79,3000,管理費每月3000元，由承租人負擔多人共同承租2；,RPXRMLMLNHLGFEF96CC,整棟(戶)出租,有,1150601~1160531,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
三重區,租賃房屋,新北市三重區中正南路２５６號４樓,0.0,,,,1150521,土地0建物0車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770902,26.0,4,4,4,有,無,有,17000,654,,0.0,0,租金總額含網路費；其他有線電視；,RPWNMLMLNHLGFGF66CC,分租套房,無,1150810~1160809,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
鶯歌區,租賃房屋,新北市鶯歌區龍七路２４５號九樓,0.0,,,,1150521,土地0建物1車位0,九層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1130821,177.17000000000002,3,2,2,有,有,無,21000,119,,0.0,0,管理費3000元，水電費 瓦斯費 由承租人負擔未租賃車位，建物登記含有車位面積；續租案件；,RPPNMLMLNHLGFIF78CC,整棟(戶)出租,有,1150601~1160531,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
樹林區,租賃房屋,新北市樹林區龍興街４６巷４２號５樓,0.0,,,,1150522,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751114,111.98,3,1,2,有,無,有,15000,134,,0.0,0,,RPRNMLMLNHLGFIF98CC,整棟(戶)出租,無,1150601~1160531,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
鶯歌區,租賃房屋,新北市鶯歌區鳳五路２３號九樓,0.0,,,,1150521,土地0建物1車位0,九層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1141230,116.53,2,2,1,有,有,無,19000,163,,0.0,0,管理費2000元，水電費 瓦斯費 由承租人負擔未租賃車位，建物登記含有車位面積；,RPSNMLMLNHLGFIF09CC,整棟(戶)出租,有,1150615~1180614,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
