鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
台東市,房地(土地+建物)+車位,臺東縣台東市更生北路２７７巷５３之１號二樓之三,34.77,都市：其他:住宅區,,,1130906,土地2建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141226,96.02,2,2,2,有,有,7540000,84717,一樓平面,12.33,450000,115.3.25簽訂增補契約增加934-1.935-1等2筆地號道路用地，持分578/10000。115.4.14合併為934-1地號。預售土地永清段933.934.935.936等四筆地號，115.4.14合併為933地號。原契約總價不變754萬元。本戶車位部分面積位於法定空地上。預售屋、或土地及建物分件登記案件；,RPTNMLKMNHLGFAV17DA,60.94,5.8,0.0,有,
台東市,房地(土地+建物),臺東縣台東市更生北路２７７巷５３之１號二樓之五,26.53,都市：其他:住宅區,,,1130903,土地2建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141226,64.42,2,2,1,有,有,5550000,86153,,0.0,0,15.4.9簽訂增補契約增加934-1.935-1等2筆地號道路用地，持分441/10000。115.4.14合併為934-1地號。預售土地永清段933.934.935.936等四筆地號，115.4.14合併為933地號。原契約總價不變555萬元。此戶露臺約定此戶專用。預售屋、或土地及建物分件登記案件；,RPXNMLNJOHLGFAV67DA,48.15,3.3,0.0,有,
台東市,房地(土地+建物)+車位,臺東縣台東市更生北路２７７巷５３之１號三樓之一,40.07,都市：其他:住宅區,,,1130907,土地2建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141226,120.0,3,2,2,有,有,9030000,84802,一樓平面,23.54,850000,115.4.9簽訂增補契約增加934-1.935-1等2筆地號道路用地，持分666/10000。115.4.14合併為934-1地號。預售土地永清段933.934.935.936等四筆地號，115.4.14合併為933地號。原契約總價不變903萬元。預售屋、或土地及建物分件登記案件；,RPVNMLKMNHLGFAV37DA,70.56,6.33,0.0,有,
台東市,房地(土地+建物),臺東縣台東市更生北路２７７巷５３之１號三樓之二,33.69,都市：其他:住宅區,,,1130906,土地2建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141226,81.3,2,2,2,有,有,6990000,85978,,0.0,0,115.3.25簽訂增補契約增加934-1.935-1等2筆地號道路用地，持分560/10000。115.4.14合併為934-1地號。預售土地永清段933.934.935.936等四筆地號，115.4.14合併為933地號。原契約總價不變699萬元。贈送GOGORO機車一台預售屋、或土地及建物分件登記案件；,RPWNMLKMNHLGFAV47DA,60.66,4.2,0.0,有,
台東市,房地(土地+建物),臺東縣台東市更生北路２７７巷５３之１號三樓之三,34.77,都市：其他:住宅區,,,1130910,土地2建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141226,83.69,2,2,2,有,有,7190000,85912,,0.0,0,115.3.26簽訂增補契約增加934-1.935-1等2筆地號道路用地，持分578/10000。115.4.14合併為934-1地號預售土地永清段933.934.935.936等四筆地號，115.4.14合併為933地號。115.3.26買方讓與所有權1/2與配偶。原契約總價不變719萬元。預售屋、或土地及建物分件登記案件；,RPXNMLKMNHLGFAV57DA,60.94,5.8,0.0,有,
台東市,房地(土地+建物),臺東縣台東市更生北路２７７巷５３之１號三樓之五,26.53,都市：其他:住宅區,,,1130919,土地2建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141226,64.42,2,2,1,有,有,5660000,87861,,0.0,0,115.3.31簽訂增補契約增加934-1.935-1等2筆地號道路用地，持分441/10000。115.4.14合併為934-1地號。預售土地永清段933.934.935.936等四筆地號，115.4.14合併為933地號。原契約總價不變566萬元。預售屋、或土地及建物分件登記案件；,RPOOMLKMNHLGFAV76DA,48.15,3.3,0.0,有,
台東市,房地(土地+建物)+車位,臺東縣台東市更生北路２７７巷５３之１號四樓之一,40.07,都市：其他:住宅區,,,1130903,土地2建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141226,116.66,3,2,2,有,有,9041000,86150,一樓平面,20.2,731000,115.3.30簽訂增補契約增加934-1.935-1等2筆地號道路用地，持分666/10000。115.4.14合併為934-1地號。預售土地永清段933.934.935.936等四筆地號，115.4.14合併為933地號。原契約總價不變9041000元。本戶車位部分面積位於法定空地上，贈送GOGORO機車一台。預售屋、或土地及建物分件登記案件；,RPSOMLKMNHLGFAV17DA,70.56,6.33,0.0,有,
台東市,房地(土地+建物),臺東縣台東市更生北路２７７巷５３之１號四樓之三,34.77,都市：其他:住宅區,,,1130905,土地2建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141226,83.69,2,2,2,有,有,7280000,86988,,0.0,0,115.3.26簽訂增補契約增加934-1.935-1等2筆地號道路用地，持分578/10000。115.4.14合併為934-1地號。預售土地永清段933.934.935.936等四筆地號，115.4.14合併為933地號。原契約總價不變728萬元。贈送GOGORO機車一台。預售屋、或土地及建物分件登記案件；,RPTOMLKMNHLGFAV27DA,60.94,5.8,0.0,有,
台東市,房地(土地+建物)+車位,臺東縣台東市更生北路２７７巷５３之１號五樓之一,40.07,都市：其他:住宅區,,,1130907,土地2建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141226,118.63,3,2,2,有,有,9180000,86875,一樓平面,22.17,800000,115.3.30簽訂增補契約增加934-1.935-1等2筆地號道路用地，持分666/10000。115.4.14合併為934-1地號。預售土地永清段933.934.935.936等四筆地號，115.4.14合併為933地號。原契約總價不變918萬元。本戶車位部分面積位於法定空地上。預售屋、或土地及建物分件登記案件；,RPVOMLKMNHLGFAV47DA,70.56,6.33,0.0,有,
台東市,房地(土地+建物),臺東縣台東市更生北路２７７巷５３之１號五樓之二,33.69,都市：其他:住宅區,,,1130904,土地2建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141226,81.3,2,2,2,有,有,7190000,88438,,0.0,0,115.3.24簽訂增補契約增加934-1.935-1等2筆地號道路用地，持分666/10000。115.4.14合併為934-1地號。預售土地永清段933.934.935.936等四筆地號，115.4.14合併為933地號。原契約總價不變719萬元。贈送GOGORO機車一台預售屋、或土地及建物分件登記案件；,RPWOMLKMNHLGFAV57DA,60.66,4.2,0.0,有,
