鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
三民區,租賃房屋,高雄市三民區褒揚東街１６２巷５９號七樓,0.0,,,,1150521,土地0建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010927,85.46000000000001,2,2,1,有,有,有,16200,190,,0.0,0,社會住宅，管理費1800元，水電費 瓦斯費 由承租人負擔續租案件；,RPROMLMLNHLGFDE48CC,整棟(戶)出租,有,1150605~1160424,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅代管
三民區,租賃房屋,高雄市三民區民族一路８８２號７樓,0.0,,,,1150521,土地0建物0車位0,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821006,23.14,6,1,4,有,有,有,7400,320,,0.0,0,每月另收公共水費100元其他租金含第四台；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPSOMLMLNHLGFDE58CC,分租雅房,有,1150701~1160630,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般代管
楠梓區,租賃房屋,高雄市楠梓區高雄大學路１７２號六樓,0.0,,,,1150521,土地0建物1車位0,六層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1040216,121.77,2,2,2,有,有,有,15500,127,,0.0,0,未租賃車位，建物登記含有車位面積；,RPSNMLMLNHLGFEE58CC,整棟(戶)出租,有,1150601~1160531,有,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,社會住宅代管
左營區,租賃房屋,高雄市左營區大中二路２３８號７樓,0.0,,,,1150521,土地0建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960112,86.4,2,2,1,有,有,有,18000,208,,0.0,0,,RPUOMLMLNHLGFEE88CC,整棟(戶)出租,有,1150522~1160521,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
鳳山區,租賃房屋,高雄市鳳山區文殿街１１２巷１９號,0.0,,,,1150521,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0760312,87.33,3,2,2,有,無,有,13000,149,,0.0,0,續租案件；,RPUNMLMLNHLGFGE98CC,整棟(戶)出租,無,1150525~1160524,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
鳳山區,租賃房屋,高雄市鳳山區福祥街５２之２號,0.0,,,,1150521,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710212,58.349999999999994,2,1,1,有,有,有,14833,254,,0.0,0,管理費167元，共計15000元,RPQOMLMLNHLGFGE68CC,整棟(戶)出租,有,1150523~1160614,有,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
仁武區,租賃房屋,高雄市仁武區京富路８０號,0.0,,,,1150521,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0860423,180.6,4,3,4,有,無,有,38000,210,,0.0,0,租金總額含稅；,RPQNMLMLNHLGFIE78CC,,無,1150615~1170614,無,熱水器、瓦斯或天然氣,
仁武區,租賃房屋,高雄市仁武區大昌街１００號四樓,0.0,,,,1150521,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831027,39.47,1,1,1,有,有,有,9000,228,,0.0,0,社會住宅，管理費758元，水電費  由承租人負擔續租案件；,RPUNMLMLNHLGFIE56CC,獨立套房,有,1150701~1160630,有,冷氣、熱水器、洗衣機,社會住宅代管
仁武區,租賃房屋,高雄市仁武區中華路３９號,0.0,,,,1150521,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0821126,141.04,5,2,4,有,無,無,30000,213,,0.0,0,,RPVNMLMLNHLGFIE66CC,,無,1150601~1160531,無,,
林園區,租賃房屋,高雄市林園區王公路１００巷１４弄２４號１２樓,0.0,,,,1150521,土地0建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),國民住宅、集合住宅,鋼筋混凝土造,0840501,97.57,3,2,2,有,有,有,15000,154,,0.0,0,,RPRNMLMLNHLGFLE56CC,整棟(戶)出租,有,1150525~1160524,有,冷氣、熱水器、電視機、冰箱,
