鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
八德區,房地(土地+建物)+車位,桃園市八德區忠勇一街,15.51,商,,,1150531,土地1建物1車位1,四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,194.93,3,2,2,有,無,23000000,131989,坡道平面,37.72,2250000,交易總價含下列非屬預售屋價格之費用:露台費,RPVNMLPJOHLGFFH76CB,青和登豐,A5-04F號,
八德區,房地(土地+建物)+車位,桃園市八德區忠勇一街,8.95,商,,,1150531,土地1建物1車位1,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.19,2,2,1,有,無,15400000,144799,坡道平面,37.72,2300000,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLPJOHLGFFH86CB,青和登豐,A3-20F號,
龜山區,房地(土地+建物)+車位,桃園市龜山區大湖一路與大湖一路176巷交叉口附近,32.84,住,,,1150523,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.34,2,2,2,有,無,13060000,129532,坡道平面,30.64,1700000,,RPPNMLPJOHLGFHH98CB,秉和芊遇,B1棟2F號,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區東勢里3鄰金龍路491巷30號六樓,25.49,,一般農業區,甲種建築用地,1150525,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.8,2,2,2,有,無,9250000,76264,坡道平面,31.49,1600000,,RPQNMLQJOHLGFGH09CB,大清城龍,A6棟6樓號,
中壢區,房地(土地+建物)+車位,桃園市中壢區中豐北路一段,11.23,住,,,1150530,土地1建物1車位1,五層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.41,2,2,1,有,無,12970000,170262,坡道平面,31.98,2000000,,RPPNMLRJOHLGFBH58CB,崧耀興翼,B2棟5F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區中豐北路一段,11.22,住,,,1150530,土地1建物1車位1,五層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.37,2,2,1,有,無,12860000,170213,坡道平面,31.98,1900000,,RPQNMLRJOHLGFBH68CB,崧耀興翼,B3棟5F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區中豐北路一段,11.23,住,,,1150530,土地1建物1車位1,十八層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.41,2,2,1,有,無,13200000,176160,坡道平面,31.98,1850000,,RPRNMLRJOHLGFBH78CB,崧耀興翼,A2棟18F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區中豐北路一段,19.92,住,,,1150530,土地1建物1車位2,十七層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.26,3,2,2,有,無,24030000,172178,坡道平面,63.96,4350000,,RPTNMLRJOHLGFBH98CB,崧耀興翼,B5棟17F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區中豐北路一段,19.92,住,,,1150530,土地1建物1車位2,十五層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.26,3,2,2,有,無,23960000,170691,坡道平面,63.96,4450000,,RPVNMLRJOHLGFBH56CB,崧耀興翼,B5棟15F號,
桃園區,房地(土地+建物),桃園市桃園區日光路,13.73,住,,,1150528,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,81.09,2,2,2,有,無,14080000,173634,,0.0,0,,RPQNMLSJOHLGFAH68CB,好風采Ⅱ,A5-10F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區日光路與清溪一路交界口,14.42,住,,,1150522,土地10建物1車位1,十八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.27,3,2,2,有,無,19800000,175552,坡道平面,34.04,2380000,,RPRNMLSJOHLGFAH78CB,亞昕森丰,A棟02-18F號,
觀音區,房地(土地+建物)+車位,桃園市觀音區草福段346地號,14.02,商,,,1150524,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.09,2,2,1,有,無,8030000,75591,坡道平面,26.72,1350000,,RPPNMLSJOHLGFBH68CB,悅佳文萃,C1棟14F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路、和豐街,36.86,住,,,1150530,土地7建物1車位3,八層,14,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,268.63,4,2,2,有,無,31150000,147565,坡道平面,100.23,6300000,,RPWNMLSJOHLGFBH76CB,宜誠?左岸,A2棟8F號,
新屋區,房地(土地+建物),桃園市新屋區三民路一段873號旁,25.82,,特定農業區,甲種建築用地,1150525,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,81.04,2,1,2,有,無,6300000,77739,,0.0,0,,RPTNMLSJOHLGFDH66CB,豐誠宴,B2棟0號,
新屋區,房地(土地+建物),桃園市新屋區三民路一段873號旁,24.16,,特定農業區,甲種建築用地,1150522,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,75.82,2,1,2,有,無,5900000,77816,,0.0,0,,RPUNMLSJOHLGFDH76CB,豐誠宴,H2棟0號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南竹路四段300巷178號附近,42.35,,特定農業區,甲種建築用地,1150527,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,183.99,4,2,2,有,無,16000000,93789,坡道平面,29.92,1550000,,RPPNMLSJOHLGFEH98CB,鵬躍?,A1棟6F號,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區中豐路一段125巷28弄旁,22.49,,一般農業區,甲種建築用地,1150525,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.78,2,2,2,有,無,11280000,106218,坡道平面,28.0,1850000,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLSJOHLGFGH76CB,百川文玥,B2棟B2-9號,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區中豐路一段125巷28弄旁,20.26,,一般農業區,甲種建築用地,1150525,土地1建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.08,2,2,2,有,無,10350000,106144,坡道平面,28.0,1850000,,RPSNMLSJOHLGFGH86CB,百川文玥,B8棟B8-12號,
桃園區,房地(土地+建物)+車位,桃園市桃園區慈文路與如意五街現為慈文路827巷交叉路口,42.08,住,,,1150521,土地1建物1車位1,五層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,257.19,0,0,0,無,無,43480000,183306,坡道平面,34.72,2700000,內含1間標配衛浴毛胚屋；,RPPNMLTJOHLGFAH68CB,國泰GRAND PARK,A棟1-5F號,
